release_group,worldwide,domestic,domestic_percent,foreign,foreign_percent,year
Mission: Impossible II,546388108.0,215409889.0,0.39399999999999996,330978219.0,0.606,2000
Gladiator,460583960.0,187705427.0,0.408,272878533.0,0.5920000000000001,2000
Cast Away,429632142.0,233632142.0,0.544,196000000.0,0.456,2000
What Women Want,374111707.0,182811707.0,0.489,191300000.0,0.511,2000
Dinosaur,349822765.0,137748063.0,0.39399999999999996,212074702.0,0.606,2000
How the Grinch Stole Christmas,345842198.0,260745620.0,0.754,85096578.0,0.24600000000000002,2000
Meet the Parents,330444045.0,166244045.0,0.503,164200000.0,0.49700000000000005,2000
The Perfect Storm,328718434.0,182618434.0,0.556,146100000.0,0.444,2000
X0Men,296339528.0,157299718.0,0.531,139039810.0,0.469,2000
What Lies Beneath,291420351.0,155464351.0,0.5329999999999999,135956000.0,0.467,2000
Scary Movie,278019771.0,157019771.0,0.565,121000000.0,0.435,2000
Charlie's Angels,264105545.0,125305545.0,0.474,138800000.0,0.526,2000
Erin Brockovich,256271286.0,125595205.0,0.49,130676081.0,0.51,2000
Unbreakable,248118121.0,95011339.0,0.38299999999999995,153106782.0,0.617,2000
Gone in 60 Seconds,237202299.0,101648571.0,0.429,135553728.0,0.5710000000000001,2000
Chicken Run,224834564.0,106834564.0,0.475,118000000.0,0.525,2000
Vertical Limit,215663859.0,69243859.0,0.321,146420000.0,0.679,2000
The Patriot,215294342.0,113330342.0,0.526,101964000.0,0.474,2000
"Crouching Tiger, Hidden Dragon",213525736.0,128078872.0,0.6,85446864.0,0.4,2000
Miss Congeniality,212742720.0,106807667.0,0.502,105935053.0,0.498,2000
Traffic,207515725.0,124115725.0,0.598,83400000.0,0.402,2000
Hollow Man,190213455.0,73209340.0,0.385,117004115.0,0.615,2000
102 Dalmatians,183611771.0,66957026.0,0.365,116654745.0,0.635,2000
Big Momma's House,173959438.0,117559438.0,0.6759999999999999,56400000.0,0.324,2000
The Emperor's New Groove,169327687.0,89302687.0,0.527,80025000.0,0.473,2000
Nutty Professor II: The Klumps,166339890.0,123309890.0,0.741,43030000.0,0.259,2000
Scream 3,161834276.0,89143175.0,0.551,72691101.0,0.449,2000
Chocolat,152699946.0,71509363.0,0.46799999999999997,81190583.0,0.532,2000
"Me, Myself & Irene",149270999.0,90570999.0,0.607,58700000.0,0.39299999999999996,2000
The Beach,144056873.0,39785027.0,0.276,104271846.0,0.7240000000000001,2000
